customer_id,customer_unique_key,customer_city,customer_state,region,signup_date
66,12922f83-ef8c-485b-807a-30f2edd4253b,Marques,MG,Southeast,2024-04-09
67,ff002d4d-9020-49e4-bf9a-b5c29f044aed,Barbosa,SP,Southeast,2023-09-27
68,43e42caf-8181-48cc-b691-47eb89a2688b,Ferreira,MT,Central-West,2023-07-02
69,3e896c64-e117-4ac3-919c-4ea3e1805081,da Paz da Serra,ES,Southeast,2023-04-19
70,b41b3143-8b10-450c-9570-4f32702cdd20,Pimenta do Galho,CE,Northeast,2023-11-02
71,8dfa6a56-d12d-4c9a-aaf9-15310200b1f0,Ribeiro do Campo,PE,Northeast,2024-06-03
72,43b409ef-2260-470f-a0cc-edc5f05db76e,Caldeira,SC,South,2023-06-06
73,45b89cd9-27cb-4f2a-8da0-1097be0f051b,Pereira do Oeste,RJ,Southeast,2023-06-15
74,afffcfd2-341e-440b-97c7-00aab7b56ea7,Montenegro do Amparo,PR,South,2024-06-27
75,d89a40c0-e87d-4c78-a7c4-21c740497b71,Borges,DF,Central-West,2024-09-05
76,46d483f3-d450-481c-ac6f-7633a2607723,Abreu,RJ,Southeast,2023-01-20
77,a319dcb4-217d-45a0-8568-11cd5563f616,Castro dos Dourados,SP,Southeast,2024-01-07
78,8f9797b0-6d7c-43c9-b4a6-9f3c8d3aed99,Camargo,CE,Northeast,2023-11-11
79,b0e6a969-e213-42b0-b1ee-dba313432e61,Nogueira,SP,Southeast,2023-09-04
80,951f58d0-5e84-4058-95a8-04eb093923de,Lopes,CE,Northeast,2023-03-22
81,5d59cd2a-4eea-44e7-8ab5-4bde20a04502,Fogaça,SP,Southeast,2024-05-12
82,aabc25fa-3fe1-4e47-ae9b-ec3635c7936c,Fogaça,PE,Northeast,2024-06-29
83,dfed2c43-e256-46dc-8f54-86b7c7b5b2bc,Pinto Grande,BA,Northeast,2023-05-12
84,dd56cc94-3c9a-414c-ae0c-aeb5ecfedb99,Cavalcanti,SC,South,2024-07-16
85,2dea9493-0658-463a-a98c-206fe1a47e10,Viana das Pedras,SP,Southeast,2024-06-24
86,bc2cbb0d-dd33-4cc7-ab7f-089acd5f4822,da Mata,CE,Northeast,2024-03-09
87,1bac27a7-b386-47a4-8991-603f28c13091,Andrade do Amparo,MT,Central-West,2024-07-06
88,eb1fa9f2-d10b-41d0-b317-347038f16a81,Ferreira de das Neves,BA,Northeast,2023-07-25
89,3a43b2ba-df0f-46cb-8b9b-c326d20eac17,Alves,RS,South,2024-02-13
90,5408f9ac-6601-4dd0-b170-f437a8f7ef5a,Azevedo Paulista,PA,North,2024-10-27
91,6651529e-8268-490b-a438-25b559e4b671,Alves do Campo,RJ,Southeast,2024-06-13
92,2db69edb-42de-4fcc-b86c-2ca2e08596db,Andrade do Campo,MG,Southeast,2023-09-11
93,ba81edd9-587e-4344-af3f-920c98b8e4cc,Lopes do Galho,SP,Southeast,2023-12-13
94,939b462d-e645-4129-a29c-2ae31d9af659,da Cunha,SP,Southeast,2024-07-21
95,006ed6e3-6fa1-4735-b572-f3d00b5cea6a,Fonseca,SP,Southeast,2023-08-14
96,aa0b7b14-f2e9-402d-91e9-cdaa6e6981a3,Pinto Alegre,SP,Southeast,2024-10-08
97,b841d0a0-1fe7-41d6-9917-8793a9d3c2e6,Montenegro da Mata,SP,Southeast,2023-03-11
98,6703b636-5380-4904-a88c-7015aab97e49,Novaes Grande,DF,Central-West,2023-12-05
99,f0bbac67-aa38-40a1-aba2-5efe311c6eb6,Rocha da Serra,SP,Southeast,2023-09-01
100,67f48ad5-4d0b-4d1a-91b0-e1d99d9262af,da Rosa,RJ,Southeast,2024-05-12
101,c9277d9b-6e0d-4648-b5ce-884149732d6c,Martins dos Dourados,SP,Southeast,2023-05-16
102,82dc4c8e-36b5-429a-acf5-e81e71316269,Vieira de Vieira,RS,South,2024-08-07
103,15b52908-a8aa-4158-ab70-e525bc67f831,Moraes Alegre,PR,South,2023-09-06
104,c04a96c4-f3b6-4fe1-9184-332417e8392a,Rocha,BA,Northeast,2024-02-21
105,32fa2de8-ce7a-47f6-b982-0cff4f77a665,Alves,SP,Southeast,2023-04-10
106,79a28903-fbe3-4b24-beae-00320bd4a990,Marques,SC,South,2023-12-29
107,935f2b0a-a138-4ddc-a2d9-de5d6a18ce4c,Silva,MG,Southeast,2024-04-23
108,664fa663-7e8f-4095-a24c-69b6b24445a7,Casa Grande,CE,Northeast,2023-02-25
109,e4855aa1-016b-4287-b008-05cca7f36ae9,Vasconcelos,RS,South,2024-10-23
110,cdda24ba-2d06-48cf-b805-f9076cd66193,Aragão de Novais,SP,Southeast,2024-02-17
111,1f115b76-d92c-4227-aadf-50853fcb7546,Carvalho de Martins,RS,South,2023-04-22
112,8f15ba58-fce6-4504-87f8-424daae65fc1,Sá dos Dourados,SP,Southeast,2023-07-14
113,e45b712e-b822-4688-90a4-44329cd6c852,Novaes dos Dourados,PR,South,2023-05-24
114,dc8aee30-be60-43f7-a8be-9288e5af6e39,Machado de da Luz,MG,Southeast,2023-10-13
115,a33dc7af-d701-410d-bf4b-1a70c074718e,Vargas do Galho,MG,Southeast,2023-03-19
116,464c04af-3d3f-4799-a072-95e97c0e8cd8,Barbosa de Silva,MG,Southeast,2024-07-17
117,55fa1ab8-458f-4f19-bc07-c57449257af1,Nogueira de Minas,SP,Southeast,2024-10-29
118,620e99d3-3b33-43d8-a69c-d696236c7b87,Santos,PA,North,2023-01-16
119,68586eba-6a34-4854-9071-4d5136c59dac,Nogueira dos Dourados,MT,Central-West,2023-08-31
120,d5385b0e-34f3-493c-8ff0-a55c6a702e2f,Gomes Verde,SP,Southeast,2024-05-12
121,db52ca58-0500-4bc6-b20d-cb6ef2311f17,Mendes do Sul,MG,Southeast,2024-02-15
122,c0e3befd-4c71-40fe-9a0c-dd7cf1578470,Leão da Prata,DF,Central-West,2023-06-18
123,ccc42903-8bcf-43a1-bc10-fa52bf5d2fdf,Mendonça,RJ,Southeast,2024-02-04
124,7c5308bf-6f92-425e-85df-16b6382c043f,Gomes,SP,Southeast,2024-04-10
125,cc530e36-addc-4e13-ab3b-4d37560c95ee,Silveira da Serra,RJ,Southeast,2024-07-23
126,20ac3703-eb67-446a-b7a6-e17cd72b6108,Gonçalves,SC,South,2024-05-13
127,06f028ff-a9ba-4a27-907b-fe36978648f8,Ramos,SP,Southeast,2023-10-31
128,7631de9d-dde9-4863-a2bd-33886db99102,Aragão,SP,Southeast,2023-03-01
129,362f5e5c-53cd-4268-a10c-f37342999aa4,Duarte de Fernandes,PR,South,2024-07-09
130,473bd358-610e-4a64-a130-1617c2dff335,da Cunha de Minas,SP,Southeast,2023-11-18
131,8a175dfe-bfc0-4dc8-84f6-4d8678660765,Ferreira,SP,Southeast,2024-08-21
132,c7fee39f-1190-4938-a66f-d7f739669fa7,Sá,MG,Southeast,2024-06-27
133,33094d35-3f4d-4561-b319-c12507f194f9,Pinto,SP,Southeast,2024-06-04
134,793b4c32-2050-4494-bd11-48022702878b,Nunes,SP,Southeast,2023-07-10
135,b31022f0-770c-4798-b7cc-863bf2a03459,Vargas da Praia,SP,Southeast,2023-03-11
136,f6b751f7-9b74-4245-9b1b-c8952af43ab7,Vasconcelos,RS,South,2023-08-29
137,4fa03f26-f6f7-40cc-a9ec-8e49d1bdb8c0,Pacheco,MG,Southeast,2024-08-06
138,93676a02-4fdc-4e1b-adcb-8cb60692dc63,Gonçalves do Oeste,SP,Southeast,2024-08-31
139,d4a057a7-b0cc-4b3b-9793-b9b413748146,Caldeira,SP,Southeast,2023-03-25
140,d9acd158-4d34-45c5-85c1-4eb4b27b3d90,Vieira,MG,Southeast,2024-08-20
141,0a8381be-c85a-4a46-90e0-f4a0fbdd3933,Nascimento das Pedras,PR,South,2023-11-20
142,8186a576-11a7-4609-9edd-bbbfa9597663,Albuquerque das Pedras,GO,Central-West,2023-07-29
143,6efb63b1-1b04-4863-bd7d-dbedd284476c,Porto dos Dourados,RS,South,2023-11-18
144,2d174fc9-6f7c-45ea-a72a-6d8eb5122df8,Pimenta da Prata,SP,Southeast,2024-02-10
145,6f81cf4f-7701-47bb-bbc6-7e1fc64ee6e3,Duarte de Goiás,SP,Southeast,2024-10-22
146,4767d76c-162f-4a24-af43-613cd4aac9a3,da Cruz de Sá,RJ,Southeast,2023-11-20
147,ab0e664e-9c3e-42d5-91e1-aa9676f72255,Fernandes do Sul,DF,Central-West,2023-03-16
148,2e8d0e87-5334-40e6-99d8-0b8d7e8adee7,Cunha de Fogaça,SP,Southeast,2024-09-28
149,4797b2c9-5720-4246-8223-623bcc3ebdde,Novais do Sul,PA,North,2023-04-13
150,15eabb27-30e9-42f2-b2b4-3abf8441aefd,Silveira,SP,Southeast,2023-08-07
151,c2171429-8e20-4724-bd13-7018680bac63,Sales,ES,Southeast,2023-05-16
152,7da67785-b63b-4dc3-a559-e46379e13cea,Vieira de Almeida,GO,Central-West,2023-03-12
153,6786d506-38ba-4abc-8b53-05e517d2582e,das Neves,CE,Northeast,2024-01-14
154,79279973-5e78-4fd7-94e0-d3baa9f948b2,Lima da Prata,RJ,Southeast,2024-03-24
155,7428a656-b3ee-4d3b-9a10-412954aebd1b,das Neves Paulista,PE,Northeast,2023-11-06
156,314d3441-b8a6-471f-9ee3-4dc43b048a8b,Campos da Prata,SC,South,2024-10-31
157,2f65fafa-b0ae-4f08-831e-dbbcf36cb62b,Cunha,PR,South,2024-11-14
158,b97e6703-46c8-4dfe-bbf4-7042bd1531c8,Brito do Oeste,PE,Northeast,2023-11-03
159,2defe193-5c62-43a2-ba3c-563e4bd6cee6,Albuquerque da Prata,GO,Central-West,2023-04-17
160,f96b648a-0ba6-4ab9-8639-447b2067bdac,Novaes,GO,Central-West,2023-05-18
161,2053da42-f1af-4b65-b289-f2244ac9778d,Caldeira de Albuquerque,SP,Southeast,2023-04-20
162,7a8d03aa-782a-45e0-88ca-765192f5df7b,Fernandes de Cirino,BA,Northeast,2023-06-09
163,f0e98b3b-40a2-4c60-8d27-0659f72ada9b,Camargo de Azevedo,SP,Southeast,2024-09-11
164,93b7a886-12f7-4c97-bde3-1a516694c343,Cassiano,SP,Southeast,2023-12-18
165,f2f9e5fa-9016-4161-8fa7-01cd2631d00b,Barros de Goiás,SP,Southeast,2024-10-11
166,6a8a616f-c3b2-40d0-8edd-dfcd1e52d770,Vasconcelos,CE,Northeast,2024-06-01
167,e893be3d-7354-4a6f-a160-745985c7504b,da Rosa de Pastor,MG,Southeast,2023-02-22
168,9191b363-4e2d-4645-adc7-cac7fd72b050,Pimenta,SP,Southeast,2024-03-09
169,f295456e-1967-4f06-bd76-7e35f5c9b047,Pires,PE,Northeast,2023-02-15
170,14c8b3b4-a911-4192-83bf-d9313605bf54,da Costa,SP,Southeast,2023-05-14
171,2812859a-1337-439e-8d4f-5d272c7f0b79,Jesus,SC,South,2023-09-26
172,784c2f29-9804-42a2-b07a-a066735435ea,Andrade de Goiás,SP,Southeast,2024-03-28
173,b3f6fe0d-4860-4b32-b4fb-0eb949c13de7,Barbosa de Rodrigues,PR,South,2024-03-13
174,c9af18f8-43b9-4a13-ac85-6f373bc1a987,Lima,PR,South,2023-04-25
175,a5cb63a2-398d-4ca6-8b68-70b51d61fac3,da Mata,SP,Southeast,2023-06-02
176,0f44704f-1247-4a4e-a469-98e8d39e198b,Vieira,PR,South,2024-01-14
177,d3016989-bfbb-417f-9854-ce4e4ebfa5c3,Macedo do Campo,PR,South,2023-06-01
178,b321bf21-4dd8-4b85-b04d-337677fc9703,da Mata do Galho,MG,Southeast,2023-02-12
179,1497d658-7010-4719-be69-5d0d8a3c3b5e,Lopes,RJ,Southeast,2023-02-10
180,40181c6e-9a8c-4a3c-9283-aac7bc0a6a5d,Borges,DF,Central-West,2023-08-04
181,d6016237-ac9e-4156-b63f-ce413a9aca5e,Teixeira,RS,South,2024-11-13
182,9384ec2b-44fe-4cae-9248-a9a7ac1aa554,Teixeira,SP,Southeast,2024-07-27
183,84dad06a-7872-4deb-acd9-4cbbc19ad58c,da Mota de Cirino,CE,Northeast,2024-02-21
184,a2814044-6f96-4882-95d8-2980ff37d19c,Borges de Melo,MT,Central-West,2023-06-08
185,5230dfbd-5553-42fe-a889-803e5913f9d3,Castro,DF,Central-West,2023-08-31
186,7ed70ed7-b194-490b-a961-929e546e035a,Ribeiro das Flores,CE,Northeast,2023-07-01
187,0964fbbf-8cd3-41b0-82b0-1cfdd045dd1c,Borges de Dias,CE,Northeast,2023-01-26
188,f85e06a1-1dad-49b2-92c2-1221409d3602,Moraes do Sul,SP,Southeast,2023-12-07
189,764414fd-8ae7-49ed-9e8e-de0ba85c6e4a,Aragão do Oeste,BA,Northeast,2024-02-26
190,c1a6423b-9f64-4eed-9c9d-927d84b871bb,Pires de Macedo,PE,Northeast,2023-09-12
191,445dcc38-341c-4494-8d36-6dfcc28ebd70,da Paz,SP,Southeast,2023-04-21
192,7c16128d-b2c0-4394-a17f-29e170286046,Alves,RJ,Southeast,2023-02-09
193,cc9fd334-9bdf-4377-a149-23c2f920264c,Santos,CE,Northeast,2023-08-16
194,03802b70-8d03-491e-8f8d-5238288b78b5,Borges de Goiás,SP,Southeast,2024-04-16
195,1d0bc9bd-e9b5-45cf-9766-5cdafe049059,Campos de Ramos,RJ,Southeast,2023-08-22
196,eec259dc-7f95-497c-a76a-a6ced50755d9,Moraes Paulista,SP,Southeast,2024-11-06
197,faf14ff0-7b85-479a-95b0-77e06a5d932b,da Cruz de Marques,SP,Southeast,2023-12-03
198,30cbd755-6232-417a-a507-41818d1fb540,Azevedo,RJ,Southeast,2023-03-13
199,dabac50d-ca3d-4859-85ce-099c46b82659,Fernandes do Galho,MT,Central-West,2023-10-13
200,486822b9-00a8-4de9-920f-87d044656d6b,Pastor Verde,RJ,Southeast,2024-06-05
201,dd81b7f5-7d59-41c6-a8f1-e091ffb8102d,Machado,MG,Southeast,2024-07-03
202,551ac8ea-585a-4afa-bbfd-cc1289e06ab3,Marques Alegre,RJ,Southeast,2023-01-29
203,b28f41de-fb14-4bc3-b04b-8590de9e3757,Oliveira,SP,Southeast,2023-09-25
204,c68a152f-db23-4a8c-bbca-bf85620a60ac,Aparecida Alegre,SP,Southeast,2023-09-29
205,e9d68f23-b489-4070-b914-f8a8bea4ff31,Gomes Grande,SP,Southeast,2024-09-02
206,2051acef-097a-4e10-b6fe-bc0e7ecddbaf,Brito dos Dourados,MG,Southeast,2023-11-18
207,74f93d17-e912-44bf-86a4-bae41986b4b2,Silveira,MG,Southeast,2024-06-07
208,a79fbfaf-def5-4689-a8f4-5bce24e75e8e,Barbosa,SP,Southeast,2024-08-13
209,43d88870-f81d-4aa1-8812-0a8e78308930,Pinto das Flores,SP,Southeast,2023-02-15
210,541cdfcd-da0d-4a5f-948f-8b74a65bb1f2,Dias do Amparo,RS,South,2023-01-02
211,9e11d2cd-0930-4ef6-8a80-068ddf547e50,da Costa,ES,Southeast,2024-07-05
212,4991ab9b-ebc2-426f-af34-cf65a193c4b2,Souza,RS,South,2024-11-17
213,1933918c-fa74-4761-af18-c1081723199d,Macedo,SP,Southeast,2024-03-17
214,e746ccb9-4ca9-4f07-b1aa-0f6a2a96e1e2,Aparecida,SP,Southeast,2024-11-11
215,4b1a269b-0e5d-4462-8bd0-0ef2530a37df,Freitas das Pedras,DF,Central-West,2024-09-30
216,697c3923-87fa-441a-be83-b91f25440fe0,Cavalcante,RJ,Southeast,2023-05-08
217,deef580f-9c07-4751-9437-45092cd1586a,Pinto de Goiás,RS,South,2023-11-04
218,24a35cf2-9549-4931-a9af-299d7f671eec,Martins,ES,Southeast,2024-11-13
219,415d174a-75a6-4981-8104-a8b5a34db7c5,Martins,MG,Southeast,2024-02-17
220,8beddb12-ad77-482f-89a2-3a89e6b5a92c,Barbosa,RS,South,2024-07-21
221,fcd6bdca-5876-4d09-b1fa-f665711533f3,Porto das Pedras,SP,Southeast,2024-03-06
222,d865d69a-74f3-4103-8006-6ff2b0b862ef,Costa das Flores,RS,South,2024-01-24
223,3cb98350-1b4d-40fe-bbb3-8605da743152,Oliveira da Praia,RS,South,2023-06-28
224,b303f438-fe21-40d0-8bbe-4aff9326dffd,Almeida das Flores,SC,South,2023-11-05
225,dd750e98-90e0-495f-8212-b554464458b4,Pereira,MG,Southeast,2023-01-01
226,e776b886-d534-4e1d-bf29-84f5bec39a37,Vasconcelos de Goiás,RJ,Southeast,2023-08-04
227,3810ae66-5a31-44cc-8d4b-69a99b689c88,Pinto,MG,Southeast,2024-08-16
228,b88ec318-c16d-43ed-ad81-f8bd402913ec,Pires,SC,South,2023-11-26
229,a5769411-a0a1-4839-a745-770418dfbc3c,das Neves,MG,Southeast,2024-03-28
230,945ef2e4-088a-43ec-b0d9-c9f8c9e26074,Siqueira Grande,RS,South,2024-06-07
231,53a3dd5a-4b8c-4bdc-a8dd-5e5a1712fb16,Cavalcanti do Oeste,MG,Southeast,2023-06-23
232,e05fb8bc-8a16-406c-8958-e75e21d53971,Moura do Galho,SC,South,2023-10-18
233,2a1f955a-d499-4a99-85c4-5a3ee9da484a,Mendes da Mata,ES,Southeast,2024-10-10
234,cde22f1c-56b6-4afc-9ed2-55d0bf1e8366,Martins,SC,South,2023-04-06
235,c1101266-2408-46dc-9346-d1a9f6802cdb,Rocha,PE,Northeast,2023-08-29
236,65bcc272-fadd-4ea3-aca5-e2fdb966442a,Borges das Flores,RS,South,2023-08-19
237,1fa382e8-895c-4d99-83b3-8eb403902c5d,Freitas de Rocha,PE,Northeast,2023-05-31
238,95a5bafa-431d-429f-ac1e-86d8bfbf397b,Porto da Praia,SP,Southeast,2023-09-08
239,78b2b549-3bdb-409e-acc2-16a01bbc91f7,Pinto,AM,North,2024-09-17
240,53f8382b-8fb8-44e4-b173-8856e25d36eb,Ramos,PE,Northeast,2023-03-16
241,76da3ca0-d2e8-4f38-a2a9-d4d8102efde5,Rezende das Pedras,MG,Southeast,2024-10-06
242,f23e323d-0b9b-4934-a3c8-6d301dde7969,da Rosa,PR,South,2024-01-29
243,18e19331-1dba-4267-be1c-a5a1fef518a6,Nascimento,MG,Southeast,2023-09-07
244,5efa9c5b-7421-4f46-a37e-4b0122bae10e,Pastor Grande,SP,Southeast,2023-01-06
245,19597b5a-a7a8-4636-aa35-df59e2aa7a5d,Pimenta de Jesus,DF,Central-West,2023-04-20
246,08601833-479d-4cda-b396-ea37f065c817,Cunha dos Dourados,BA,Northeast,2023-08-13
247,dafec8a9-3c71-40be-b357-956071d79665,Brito da Praia,SP,Southeast,2024-06-14
248,a5135ea0-fa53-434d-a6d5-901d8b621d41,Araújo das Flores,MG,Southeast,2024-07-24
249,1f45dbfd-f7dc-47e0-b097-4b2b46a02a9b,Borges de Ribeiro,SP,Southeast,2023-05-05
250,98de8ebb-a3b5-4ece-a446-be72364c911a,Aragão,MG,Southeast,2024-04-20
251,fd235def-3e5a-47e3-9560-db22c96b5edb,Viana,RS,South,2024-07-26
252,d46ef104-1190-4f50-b488-5a4690882eaf,Pastor,PR,South,2024-03-29
253,3ba5cd2f-dea4-4c19-9024-3d723748967f,Vasconcelos Grande,SC,South,2024-05-31
254,00b9d4a3-9892-40ac-a689-33a9c9e48e8c,Casa Grande Grande,MG,Southeast,2024-07-15
255,2cabd7e7-cc6b-46e5-802a-df9c8a4b8f7c,Ribeiro,MG,Southeast,2023-06-12
256,03cde2e3-21bd-4b41-8699-8731ddcf8766,Vieira de Goiás,BA,Northeast,2024-05-01
257,2c9b662e-040a-4aae-92e2-afd996bf10ab,Aragão Grande,MG,Southeast,2023-09-11
258,1d181ee9-86ad-4a8c-abc4-123ebde13c1b,Melo,PE,Northeast,2023-10-11
259,83639007-5cae-4610-872c-1fe372c22a16,Machado,BA,Northeast,2024-06-17
260,9d77a45e-f206-4269-b8b7-7c0780fb9296,Siqueira,MG,Southeast,2023-09-02
261,a8addf36-ddf2-45eb-a8a3-f341c8819065,Marques do Sul,SP,Southeast,2023-03-21
262,d8e88ebb-7a9e-4eef-bfa3-61be0f9240e1,Lima do Campo,RS,South,2023-08-29
263,718d4d05-e8e2-4743-b65f-eea97d824264,Barros,SP,Southeast,2023-11-24
264,10d08d11-25f9-44bf-9bb9-61555275eb94,da Mota,DF,Central-West,2023-03-24
265,8c611654-95da-45c1-a211-50f99fd34579,Garcia do Galho,SP,Southeast,2023-08-25
266,9afd4015-816b-4b9f-b426-b1934b7e6b3c,Brito do Campo,RJ,Southeast,2023-06-06
267,e0b15aba-a6a2-4967-a79b-44b6da509fed,Lopes,RS,South,2023-03-07
268,69efafb1-3a7e-4e14-a359-eee173991a47,Marques das Flores,MG,Southeast,2023-12-05
269,50032b35-1857-4baf-bac7-e2b96a7e4c36,Dias Paulista,PR,South,2024-03-01
270,afd380c4-2713-482c-b41e-a3ac5fd23109,Azevedo de Borges,SP,Southeast,2024-03-06
271,6e8f75a1-17dd-4d81-95da-705cd4ef00aa,Souza,RJ,Southeast,2024-08-21
272,214f3f12-cfd0-4cbd-9f65-c8cebd21bc11,Pastor,GO,Central-West,2023-01-21
273,5463adc7-8fca-4b6a-8fc4-2092f4e559e5,Jesus,CE,Northeast,2024-08-12
